MGI symbol	NCBI gene ID	Gene Synonym
mt-Nd6	17722	URF6
mt-Te		tRNA
mt-Te		tRNA-Glu
mt-Te		TrnE tRNA
mt-Cytb	17711	Cytb
mt-Tt		tRNA
mt-Tt		tRNA-Thr
mt-Tt		TrnT tRNA
mt-Tp		tRNA
mt-Tp		tRNA-Pro
mt-Tp		TrnP tRNA
Gm38166		
Gm48356		
Crs-ps		Gm27213
Gm28954		
Gm28695		
Gm28170		
Gm29303		
Vmn1r244	435949	Gm5728
Gm44473		
Gm8246	666706	
Serpinb9e	20710	NK26
Serpinb9e	20710	ovalbumin
Serpinb9e	20710	Spi14
Gm49127		
Gm45911		
Gm32340		
Cdh9	12565	T1-cadherin
Gm27000		
BC021767		
Gm30381		
Fcrls	80891	2810439C17Rik
Fcrls	80891	Fcrh2
Fcrls	80891	IFGP2
Fcrls	80891	moFcRH2sc
Fcrls	80891	Msr2
Gm15147		
Gm48819		
4930444K16Rik		
Gm43700		
Gm5060		
Gm13420	433415	
EU599041	100170401	
Gm34907		
Vmn2r125		Gm20782
Tas2r130		mt2r42
Tas2r130		STC 7-4
Tas2r130		T2R30
Tas2r130		Tas2r30
Alb	11657	Alb-1
Alb	11657	Alb1
Gm49238		
Gm42508		
4930524O08Rik	74700	
Kcnn1	84036	SK1
Gm43784		
Gm4927		
Gm8131		
Gm47094		
Gm5042		
Zfp397	69256	2810411K16Rik
Zfp397	69256	6720480F11Rik
Nptx2	53324	narp
Nptx2	53324	np2
Plpp4	381925	C030048B12Rik
Plpp4	381925	LOC381925
Plpp4	381925	Ppapdc1a
6030469F06Rik		
P2rx4	18438	D5Ertd444e
P2rx4	18438	P2X4
Alox12e	11685	8-LOX
Alox12e	11685	Alox12-ps1
Alox12e	11685	Alox12-ps2
Alox12e	11685	Aloxe
Alox12e	11685	e-LOX1
Acbd5	74159	1300014E15Rik
C1s2	317677	Gm5077
Aopep		2010111I01Rik
Aopep		ApO
Gm43073		
A830082K12Rik		
Vmn1r-ps92		Gm11283
Gm3211		
Gm27150		
Gm49239		
Gm18843		
Gm35389		
1700016G22Rik	71867	
Gm20477		
Gm28696		
Gm6139		
Gm17853		
Vmn1r-ps93		Gm11293
Filip1	70598	5730485H21Rik
Filip1	70598	FILIP
Gm12110		
Gm42711		
Bcl9	77578	2610202E01Rik
Bcl9	77578	8030475K17Rik
Bcl9	77578	A330041G23Rik
1700081H04Rik	73477	
Btbd35f23	100861966	Gm21950
Gm13437		
Gm21811		
Gm42553		
Gm20791		
Gm47611		
Gm3104		
Gm11285		
Emc2	66736	4921531G14Rik
Emc2	66736	Ttc35
Tas2r107	387342	mGR06
Tas2r107	387342	mt2r43
Tas2r107	387342	STC 5-1
Tas2r107	387342	T2R07
Tas2r107	387342	T2R4
Tas2r107	387342	Tas2r7
Zfp11	22648	Krox-6
Zfp11	22648	Zfp-11
Gm28674		
Gm47612		
Gm45521		
Eif1-ps1		Gm10713
Olfr1328		GA_x6K02T2QD9B-18602750-18603691
Olfr1328		MOR259-1
Olfr1328		MOR259-13
Olfr1328		Olfr1519
Gm8989		Gm21911
Gm42552		
Gm18891		
Btbd35f24		Gm21364
Gm5759		
Egr4	13656	NGF1-C
Egr4	13656	NGFI-C
Egr4	13656	pAT133
Gm28953		
Zfa-ps	22639	Zfa
4930402F06Rik	74854	
Gm28531		
9130221F21Rik		
Gm6272		
Gm15141		
Gm18198		
Zfp688	69234	2810407K09Rik
Gm8880		
Gm37358		
Ucp1	22227	Slc25a7
Gm13106		
Gm8809		
Rab23	19335	
Lpar4	78134	5730485F04Rik
Lpar4	78134	Gpr23
Lpar4	78134	LPA4
Lpar4	78134	p2y9
Gm14331		
Gm8952		
Vmn1r100		Gm10671
Gm7467		
Dffa	13347	A330085O09Rik
Dffa	13347	DFF35
Dffa	13347	Dff45
Dffa	13347	ICAD-L
Dffa	13347	ICAD-S
Gm18024		
Gm20776		
Gm6117		
Gm16412		
Gm8502		
Sltm	66660	5730455C01Rik
Sltm	66660	5730555F13Rik
Sltm	66660	9130215G10Rik
Tmem130	243339	
Gm6727		
Nr2f1	13865	COUP-TF1
Nr2f1	13865	COUP-TFI
Nr2f1	13865	Erbal3
Nr2f1	13865	Tcfcoup1
Gm36065		
Gm18840		
Gm44604		
Gm10256		
Gm2682		
Sept14		1700016K13Rik
Gm8991		
Vmn1r188		V1rh17
Gm7353		
C1s1	50908	C1s
Gm28958		
Gm8049		
Cd5l	11801	AAC-11
Cd5l	11801	AIM/Spalpha
Cd5l	11801	Api6
Cd5l	11801	Pdp 1/6
Cd5l	11801	Sp-alpha
Gm12420		
Atf7ip	54343	2610204M12Rik
Atf7ip	54343	AM
Atf7ip	54343	ATFa-associated Modulator
Atf7ip	54343	Mcaf1
Gm14892		
Gm12856		
Gm14333		
LOC665443		EG665443
Gm14791		
Gm16538		
Vmn1r101		Gm4135
Gm47947		
Ppara	19013	4933429D07Rik
Ppara	19013	Nr1c1
Ppara	19013	Ppar
Ppara	19013	PPAR-alpha
Ppara	19013	PPARalpha
Gm44451		
Tctex1d4	242646	4833401D15Rik
Gm40968		
Galnt12	230145	A630062B03Rik
Gm44023		
Samt2b	75071	4930524N10Rik
Gm20828	100040187	
Gm12415		
Gm50387		
Vmn1r-ps94		Gm11286
Gm44459		
Gm49588		
Gm28957		
Gm4817		
Stk32b	64293	2510009F08Rik
Stk32b	64293	Stk32
Stk32b	64293	STKG6
Stk32b	64293	YANK2
Gm14796		EG667930
Porcn	53627	2410004O13Rik
Porcn	53627	DXHXS7465e
Porcn	53627	mMg61
Porcn	53627	Mporc
Porcn	53627	porc
Fam89b	17826	1110021A21Rik
Fam89b	17826	Fam89b
Fam89b	17826	Mtvr2
Gm34776		
Gm14797		
Gm28710		
Rab25	53868	
Gm8955		
Gm14332		
Prr30	76627	1700110M21Rik
Mmaa	109136	2810018E08Rik
Hfe	15216	MR2
Gm9618		
Gm7807		
Gm649		LOC270621
Speer9-ps1	73949	SPEER-9
Gm28710		
Wdr35	74682	4930459M12Rik
2610005L07Rik		
Gm12863		
Vmn1r189		V1rh2
Rbmy	19657	RBM
Rbmy	19657	Rbm1
Rbmy	19657	Rbm1-rs1
Rbmy	19657	Rbmy1a1
Rbmy	19657	Rbmy1a1-rs1
Gm49376		
Gm14334		
		
Gm5517		
Gm29708		
Gm10670		
Gm45184		
Asb4	65255	8430401O13Rik
Kcnj12	16515	IRK2
Kcnj12	16515	Kir2.2
Kcnj12	16515	MB-IRK2
Plk3	12795	Cnk
Gm5646		
Gm14805		
Gm48028		
Gm28228		
Gm14352		
A330049N07Rik		
Gm8569		
A630052C17Rik		
Gm2791		
Gm35781		
Gm42855		
Gm12112		
Mug-ps1		Mug3
Gm15319		
Btbd35f11		Gm14346
Gm6673		
Samt4	75185	4930542N07Rik
Gm12111		
Gm46387		
Ppp4r3b	104570	Smek2
Fgd4	224014	9330209B17Rik
Fgd4	224014	Frabin
Fgd4	224014	Frabin-alpha
Fgd4	224014	Frabin-beta
Fgd4	224014	Frabin-gamma
Fgd4	224014	ZFYVE6
Foxk1	17425	A630048H08Rik
Foxk1	17425	Mnf
1700045I11Rik		
Vmn1r103		Gm8474
2700081O15Rik	108899	
Gm28956		
Foxp2	114142	2810043D05Rik
Foxp2	114142	D0Kist7
Gm29438		
Gm47044		
Vmn1r104		Gm8477
Psmd7	17463	Mov-34
Psmd7	17463	Mov34
St3gal5	20454	3S-T
St3gal5	20454	GM3 synthase
St3gal5	20454	GM3-specific sialytransferase
St3gal5	20454	mST3Gal V
St3gal5	20454	Siat9
St3gal5	20454	ST3Gal V
St3gal5	20454	[a]2
Samt2		Gm5647
Gm13301		
Gm18729		
Znrd2	56390	1500016H19Rik
Znrd2	56390	Sjogren's syndrome/scleroderma autoantigen 1 homolog (human)
Znrd2	56390	Sssca1
6820431F20Rik		
Rpsa-ps4		Gm12113
Gm28952		
Gm21055		
AU018091	245128	
1700054O05Rik		
Gm10600		
Gm28951		
Taf4b		105kDa
Taf4b		2610524B04Rik
Taf4b		4932409F03Rik
Taf4b		Taf2c2
Taf4b		TAFII105
Speer4f2	100041749	Gm3495
Speer4f2	100041749	Gm3535
Gm13301		
Gm28390		
Hspd1-ps5		Gm5208
Tcp10c	100041352	D17Leh66C
Tcp10c	100041352	D17Leh66ca
Tcp10c	100041352	Gm9880
Tcp10c	100041352	T66C-a
Tcp10c	100041352	Tcp-10c
Gm17167		
Naf1	234344	LOC234344
Gm28391		
Xpo4	57258	B430309A01Rik
Kif27	75050	4930517I18Rik
Vmn1r-ps95		Gm11288
Pdcl2	79455	1700010B22Rik
Pdcl2	79455	1700016K07Rik
Pdcl2	79455	Mgcphlp
Vmn1r-ps96		
Dnase1l3	13421	DNasegamma
Vmn1r-ps97		Gm11287
Gm5859		
Glrp1	14659	GRP-1
Ltbp2	16997	
Ssh1	231637	LOC384311
Ssh1	231637	mSSH-1L
Gm13629		
Vmn1r190-ps		V1ri8
Odc1	18263	ODC
Pdcd11		1110021I22Rik
Pdcd11		ALG-4
Cpeb2	231207	A630055H10Rik
Gm17081		Gm17818
Rtn3	20168	
Trav7d-3		
Gm10599		
Ddx58		6430573D20Rik
Ddx58		RIG-I
Gm20841	108168563	
Gm11284		
Gm28899		
Scn9a	20274	PN1
Gm13849		
A230052G05Rik		
Gm50470		
Gm13848		
Trav6d-4		LOC193570
Trav6d-4		LOC277146
Frat1	14296	
Gm3187	102636792	Gm3366
Layn	244864	E030012M19Rik
Layn	244864	LOC244864
Vmn1r191		V1rh15
Gm5576		
Gpld1	14756	6330541J12Rik
Fundc1		1500005J14Rik
Fundc1		1810033P05Rik
Clip3	76686	1500005P14Rik
Gm12424		
Pde1c	18575	
Gm43154		
Frat2	212398	
Gm14353		
Ciao2a	68250	5730536A07Rik
Ciao2a	68250	Fam96a
Ubxn2b		3110003A22Rik
Ubxn2b		6430407D20Rik
Gm14360		
Vmn1r-ps99		Gm11289
Kiss1r	114229	Gpr54
Serpinb9f	20709	NK21
Serpinb9f	20709	ovalbumin
Serpinb9f	20709	Spi13
Gm3375		
Gm14361		
Cks1b		2410005G18Rik
Cks1b		2610005D03Rik
Cks1b		Cks1
Lins1	72635	2700083B01Rik
Lins1	72635	Lins
Lins1	72635	Wins2
Prickle3	54630	Lmo6
Prickle3	54630	Sfc16
Gm26555		
Btbd35f18		Gm14345
Ccl21b	100042493	6CKBAC1
Ccl21b	100042493	6Ckine
Ccl21b	100042493	CKb9
Ccl21b	100042493	Exodus-2
Ccl21b	100042493	Scya21
Ccl21b	100042493	Scya21a
Ccl21b	100042493	SLC
Ccl21b	100042493	TCA4
Btg4	56057	PC3B
Xpnpep3	321003	E430012M05Rik
Gm15142	100040899	
Sbds	66711	4733401P19Rik
Sbds	66711	Shwachman-Bodian-Diamond syndrome homolog (human)
Gm43293		
Gm3678		
Gm50471		
Nupl2	231042	CG1
Lamp3	239739	1200002D17Rik
Lamp3	239739	Cd208
Lamp3	239739	DC-LAMP
Lamp3	239739	TSC403
Gm46507		
Btbd35f10		Gm14351
Gm48619		
Gm21980		
Gm4890		
Fbxo33	70611	5730501N20Rik
4930503B20Rik	75015	
Reg3b	18489	Pap
Reg3b	18489	PAP1
Reg3b	18489	REG-III
Reg3b	18489	RegIII (beta)
Gm14357		
Cd24a	12484	cluster of differentiation 24
Cd24a	12484	heat stable antigen
Cd24a	12484	HSA
Cd24a	12484	Ly-52
Cd24a	12484	nectadrin
Gm44140		
Ido1	15930	Ido
Ido1	15930	Indo
Gm29277	69438	
Gm10825		
R3hdm4	109284	C030046I01Rik
Gm39185		Gm45825
Gm8203		
Akr1c14	105387	9030611N15Rik
Psg16	26436	bCEA
Psg16	26436	Cea11
Zmym6		9330177P20Rik
Zmym6		D4Wsu24e
Zmym6		Zfp258
Gm2140		
Gm20404		
Gm15659		
Gm7639		
Gm12114		
4833427G06Rik	235345	
Gm45827		
D530033B14Rik		
Tmcc1	330401	3632431M01Rik
Gm12033		
Zscan30		C230097I24Rik
Zscan30		Zfp397os
Gm16325		
Nlrp12	378425	Nalp12
Nlrp12	115489386	Nalp12
Gm33027		Gm44591
Tmem222	52174	5730406H10Rik
Tmem222	52174	D4Ertd196e
Ctag2l1	628456	Gm6880
Gm46311		
1600014C10Rik	72244	
Gm8812		
Samd13	75015	LOC381481
Gm12034		
Plp2	18824	mIMA4
Gm19283		
Zfp35	22694	Zfp-35
Fgf18		D130055P09Rik
Fgf18		FGF-18
Gm8597		
1700101O22Rik	73575	
Gm49934		
Ube2ql1	76980	3110006E14Rik
Gm21722		
Pramef25		Gm13109
Gm28898		
Gm14359		
Gm20430		
Gm17799		
Gm45219		
Gm48258		
Gm29089		
Gm43059		
Gm28897		
Gm18857		
Vgll1	170828	Tondu
C1rb		Gm8551
C1rb		mC1rB
Gm7719		
Lats2	50523	
Gm43510		
Zfp512	269639	2500002M11Rik
4930547H16Rik		
Olfr1402		GA_x6K02T2R76Y-3201307-3200360
Olfr1402		MOR217-1
Gm4930		
Gm32390		
Rps19bp1	66538	2510038A11Rik
Rps19bp1	66538	S19BP
Gm7344		
Gm16567		
Gm20288		
Gm28389		
T	20997	Bra
T	20997	T1
T	20997	Tbxt
4930433N12Rik		
Gm34481		
Rrp12	107094	
Gm43724		
F930017D23Rik	414125	F830002L21Rik
Gm42535		
4933431G14Rik	71265	
Gm43725		
Calhm2		2810048G17Rik
Gm12269		
Klf6	23849	BCD1
Klf6	23849	Copeb
Klf6	23849	CPBP
Klf6	23849	FM2
Klf6	23849	FM6
Klf6	23849	Ierepo1
Klf6	23849	Ierepo3
Klf6	23849	Zf9
Gm37126		
Tnfrsf13b	57916	1200009E08Rik
Tnfrsf13b	57916	Taci
Gm19589	100503197	
St8sia6	241230	1700007J08Rik
St8sia6	241230	Siat8f
St8sia6	241230	ST8Sia VI
Ddi1		1700011N24Rik
Mrpl30	107734	2310001L22Rik
Mrpl30	107734	MRP-L28
Mrpl30	107734	Rpml28
Dcaf8l	18630	PC231
Dcaf8l	18630	PC326
Dcaf8l	18630	Pet2
Dcaf8l	18630	Pex3
Gm12582		
Gm12584		
Gm12583		
Bhmt		
Gm38130		
Adad1		
Gm14355		
Pdgfd	71785	1110003I09Rik
Gm29336		
Gm2098		
Gm47927		
Ptpru	19273	Ptprl
Ptpru	19273	RPTPlambda
Gm17025		
Gm13101		
Flnc	68794	1110055E19Rik
Flnc	68794	actin binding protein 280
Flnc	68794	Fln2
Lrp2	14725	b2b1625.2Clo
Lrp2	14725	D230004K18Rik
Lrp2	14725	Gp330
Lrp2	14725	Megalin
Dnajb7		4933424H20Rik
Dnajb7		mDj5
Gm48109		
Rpl26-ps1		Gm9032
Tpra1	24100	40kDa
Tpra1	24100	Gpr175
Tpra1	24100	Tpra40
Gm47926		
Spin2-ps1		Gm14354
Gm9139		
Gm20553		
Nexmif	245555	C77370
Nexmif	245555	Xpn
Olfr361		GA_x6K02T2NLDC-33777519-33776551
Olfr361		MOR159-3
Gm12423		
Gm16531		
Gm12035		
Gm15622		
Sertad2	58172	SEI-2
Sertad2	58172	Sei2
Sertad2	58172	Trip-Br2
Fam214b	230088	B230312A22Rik
Btbd35f16		Gm3701
Gm4774		
Gm17892		
Gm12418		
Gm12419		
Gm6392		
Slc7a12	140918	Asc-2
Slc7a12	140918	asc-type amino acid transporter 2
Slc7a12	140918	XAT1
Cntln	338349	B430108F07Rik
Cntln	338349	D530005L17Rik
Gm48946		
Gm5340		
Gm15251		
Tub	22141	rd5
Tub	22141	tub
Gm15257		
Ginm1	215751	BC013529
Tmem35b	100039968	Zmym6nb
Gm31138		Gm45831
Gm8577		
Zfp24	59057	3526401F17Rik
Zfp24	59057	5033419P20Rik
Zfp24	59057	KOX17
Zfp24	59057	ZF-12
Zfp24	59057	Zfp191
Ptpn20	19256	typ
Gm48263		
Gm2888	100040657	
D030025P21Rik		
Cldn34b1	100040937	Gm16390
Gm18242		
Zfp715	69930	2610041B18Rik
Zfp715	69930	mszf15
Gm42551		
6030400A10Rik		
Zfy1	22767	Zfy-1
Gm28655		
Gm32828	102635512	
Gm7854	665934	ENSMUSG00000054483
Lao1	100470	
Gm45628		
Gm49361		
Gm12426		
Fam193a	231128	
Tsg101	22088	CC2
Pdk4	27273	
Gm18085		
Col15a1	12819	
Tas2r106	387341	mGR06
Tas2r106	387341	mt2r44
Tas2r106	387341	T2R06
Tas2r106	387341	Tas2r6
Gm12714		
Afp	11576	alpha-foetoprotein
Gm15885		
Il2	16183	IL-2
Srl	106393	9830004M20Rik
Srl	106393	sar
Srl	106393	sarcalumenin
Tas2r104	387340	mGR04
Tas2r104	387340	mt2r45
Tas2r104	387340	T2R04
Tas2r104	387340	Tas2r4
Mrs2	380836	LOC380836
Mrs2	380836	Mrs2l
Gm5205		
1810063I02Rik	69854	
Trub2	227682	G430055L02Rik
Tas2r105	57252	mGR05
Tas2r105	57252	mt2r5
Tas2r105	57252	T2R05
Tas2r105	57252	T2r5
Tas2r105	57252	T2R9
Tas2r105	57252	Tas2r5
Gm3488	100041735	Gm3494
Gm45880		
Tas2r114	387346	mGR14
Tas2r114	387346	mt2r46
Tas2r114	387346	T2R14
Tas2r114	387346	Tas2r14
Pth1r	19228	PPR
Pth1r	19228	PTH-related peptide receptor
Pth1r	19228	PTH/PTHrP receptor
Pth1r	19228	PTH1R
Pth1r	19228	Pthr1
Gm8598		
Gm3532		
Lamtor2		2010111E04Rik
Lamtor2		Mapbpip
Lamtor2		P14
Lamtor2		Rab25
Lamtor2		Robld3
Gm36864	102640913	
Gm43973		
Pdxdc1	94184	2210010A19Rik
Vmn1r192		V1ri1
Gm17177		
Gm8266		
Gm46400		
Gm26746		
1700028J19Rik		
Gm26893		
Gm49287		
Xkr8	381560	4931440N07Rik
Xkr8	381560	LOC381560
Gm21953	621580	
Gm21953	100862220	
Olfr369-ps1		GA_x6K02T2NR0T-2766101-2765624
Zdhhc11	71164	4933421L13Rik
Ext1		
Gm26931		
Mical2	320878	5330438E18Rik
Mical2	100504195	5330438E18Rik
Gm42559		
B430219N15Rik		
Rpl35-ps1		Gm13628
Btbd35f3		Gm3706
Vmn1r245	435946	Gm5726
Gm13627		
Ccdc124	234388	1810023B24Rik
Gm7086		
Gm21999		
AW549877	106064	
Trav7d-4		
Pygm	19309	PG
Gm6881		
Fam47e	384198	Gm1381
Fam47e	384198	LOC384198
Eepd1	67484	2310005P05Rik
Gm9144		
Gm8940		
Ric3	320360	E130307J04Rik
Gm43974		
5033426E14Rik		
Gm21996		
Tmem74	239408	B230382K22Rik
Smad1	17125	Madh1
Smad1	17125	Madr1
Smad1	17125	Smad 1
Prb3-ps		EG625913
Prb3-ps		Gm7279
Prb3-ps		Prb3
Gm5408		
Scfd1	76983	3110021P21Rik
Scfd1	76983	RA410
Scfd1	76983	STXBP1L2
Gm43975		
Bag2	213539	2610042A13Rik
P2ry10	78826	5830408N17Rik
P2ry10	78826	P2Y10
Trav8d-1		
Reg3d	30053	INGAP
Reg3d	30053	Ingaprp
Vkorc1	27973	D7Wsu86e
Gm8574		
Myadm	50918	D7Wsu62e
Trav9d-1		
Gbp11		Gm7141
Gm14804		
Gm43449		
Mier1	71148	4933425I22Rik
Mier1	71148	5830411K19Rik
Gm6973		
Gm49286		
Trav6d-5		
Gm11798		
4932429P05Rik		
Gm8506		
Card19	68480	1110007C09Rik
Klrg1	50928	2F1-Ag
Gm10126		
Sult2a8	76971	2810007J24Rik
Sult2a8	76971	mL-STL
Trav10d		
Gm7108		
Pabpc4l	241989	C330050A14Rik
Pabpc4l	241989	EG241989
Amd2	100041585	Amd3
Amd2	100041585	ENSMUSG00000063953
Gm10352		
Nanog-ps1		nanogPa
Zfp646	233905	
Gm48040		
Gm37905		
Gm40634		
Gm4736		
Nmu	56183	
Gm49446		
Gm47046		
Gm18337		
Gm43976		
Gm47569		
Hpcal4	170638	
Gm43978		
Gm47048		
Gm8510		
Gm47049		
Gm26519	102634580	
Gm8603		
Myct1	68632	1110020B04Rik
Myct1	68632	MT-MC1
Myct1	68632	Mtmc1
Gm48947		
Gm21089		
Gm8282		
Gm16050		Gm16051
Gm41073		
Gm43803		
Gm18387		
Gm48674		
Gm46146		
Gm3355		
Gm42901		
1700027J07Rik	69443	
Gm42899		
Tcte2		Tcte-2
Apol8	239552	9830006J20Rik
Apol8	239552	Apol2
Slc48a1	67739	4930570C03Rik
Zfp668	244219	E130018B19Rik
Gm42898		
Gm48478		
Prkcg	18752	Pkcc
Prkcg	18752	PKCgamma
Prkcg	18752	Prkcc
Gm48633		
Gm43805		
Adad2	75773	4930403J07Rik
Gm10660		
Zfp809	235047	
C130075A20Rik		
Gm9034		
Gm43804		
Gm15361		ENSMUSG00000059611
Gm43588		
4933404K13Rik		
Gm15362		EG628474
Lhfp	108927	2810489O06Rik
Alms1	236266	Alstrom syndrome 1
Myl3	17897	alkali
Myl3	17897	MLC1s
Myl3	17897	MLC1v
Myl3	17897	Mylc
Myl3	17897	slow skeletal
Myl3	17897	ventricular
Ephb2	13844	Cek5
Ephb2	13844	Drt
Ephb2	13844	Erk
Ephb2	13844	eteck
Ephb2	13844	Hek5
Ephb2	13844	Nuk
Ephb2	13844	Prkm5
Ephb2	13844	Qek5
Ephb2	13844	Sek3
Ephb2	13844	Tyro5
Gm44208		
Gm47621		
Dmkn	73712	1110014F24Rik
Dmkn	73712	cI-36
Dmkn	73712	dermokine
Dmkn	73712	Dmkn
Dmkn	73712	sk30
Dmkn	73712	sk89
Gm15364		
Gm47622		
Gm46644		
Tpd52	21985	mD52
Gm47623		
Gm16250		
4930432L08Rik	74621	
Stbd1	52331	D530019K15Rik
Stbd1	52331	D5Ertd593e
Gm42672		
Slc35f1	215085	
Gm29431		
Nat1		Nat-1
Gm6637		
Arnt	11863	bHLHe2
Arnt	11863	D3Ertd557e
Arnt	11863	ESTM42
Arnt	11863	Hif1b
Mrap2	244958	
Gm44227		
Hdac7	56233	5830434K02Rik
Hdac7	56233	Hdac7a
Pgam1	18648	2310050F24Rik
Pgam1	18648	Pgam-1
Gm37445		
Magea6	17142	Mage-a6
Trav6d-6		LOC382958
Gm48940		
Slc35f4	75288	4930550L21Rik
Gm10356		EG545517
Gm10356		Gm28084
Bhmt2	64918	C81077
Bhmt2	64918	D13Ucla2
Vmn1r246	100042976	Gm4141
Gm21974		
Gm4989		
Plin1	103968	6030432J05Rik
Plin1	103968	Peri
Plin1	103968	perilipin A
Plin1	103968	perilipin B
Plin1	103968	Plin
Gm4513		
Gm46497		
Zfp707	69020	1500031N24Rik
Gm4761		
Prss53	330657	BC039632
Reg3a	19694	RegIII (alpha)
Gm47624		
2700054A10Rik	72578	
Gm43979		
Prpmp5		MP5
Fam205a3	100043920	Gm21598
Fam205a3	100862261	Gm21598
Pramef17		Gm13107
Nat2	17961	
Trappc6a	67091	1810073E21Rik
Trappc6a	67091	4930519D19Rik
Trappc6a	67091	TRS33
Gm16132		
Gm21803		
Gm38042		
Gm47603		
Gm48931		
Kcnu1	16532	Kcnma3
Kcnu1	16532	Slo3
Gm28930		
Gm43457		
Zfhx3	11906	A230102L03Rik
Zfhx3	11906	Atbf1
Zfhx3	11906	Sci
Zfhx3	11906	WBP9
Gm44687		
Vmn1r193		V1ri9
Gm13108		
Gm47586		
5330429C05Rik	78071	
Prb1	381833	proline-rich proteoglycan 2
Gm20879		
Gm7538		
Gm47585		
Olfr1326-ps1		GA_x6K02T2QD78-226493-227257
Olfr1326-ps1		MOR267-19
Gm47588		
Gm29504		
Gm47584		
Afdn	17356	5033403D15Rik
Afdn	17356	AF6
Afdn	17356	Afadin
Afdn	17356	I-afadin
Afdn	17356	Mllt4
Afdn	17356	S-afadin
Gm9755		
Slc5a5	114479	NIS
D830039M14Rik		
Gm47587		
Nrl	18185	
Vsnl1	26950	VILIP
Gm4759		
Gm32051		Gm42749
Gm44083		
Gm47602		
Gm47594		
Gm7287		
Gm47583		
Gm8995		
Gm47595		
Gm20837		
Vmn1r194		Gm11294
Lrrc20	216011	
Nat3	17962	
Gm1966		
Fancc	14088	Facc
Coq4	227683	D2Ertd97e
Coq4	227683	EST-MNCb4625
Gm21586	100862220	
Gm21586	100862247	
Gm4285		
Gm12320		
Gm21744		
Gm17829		
Ubqln4	94232	UBIN
Gm47593		
Gm44788		
Prkab1	19079	1300015D22Rik
Gm21092		
Gm31314	102633504	
Ceacam3	384557	cea12
Ceacam3	384557	EG384557
Ceacam3	384557	Psg24
Gm12318		
Gm21182		
Rbm12b1	72397	3000004N20Rik
Rbm12b1	72397	Rbm12b
Gm13381		
Gm29503		
Hcn4	330953	
Zfp3		Fnp-1
Zfp3		Zfp-3
Gm13104		
Cel	12613	1810036E18Rik
Cel	12613	BAL
Gm20686		
Gm42600		
Gm11817		
Gm39244		Gm45529
Gm11816		
Gm3883		Gm10598
Gm45601		
Gm49108		
Gm38318		
