HGNC symbol	NCBI gene ID	Gene Synonym
MT-TL2		MTTL2
MT-TL2		TRNL2
MT-ND5	4540	MTND5
MT-ND5	4540	NAD5
MT-ND5	4540	ND5
MT-ND6	4541	MTND6
MT-ND6	4541	NAD6
MT-ND6	4541	ND6
MT-TE		MTTE
MT-TE		trnE
MT-CYB	4519	COB
MT-CYB	4519	CYTB
MT-CYB	4519	MTCYB
MT-CYB	4519	UQCR3
MT-TT		LIMM
MT-TT		MTTT
MT-TT		trnT
MT-TP		MTTP
MT-TP		trnP
CSTP1		dJ850N15.1
H3C9P		dJ45P21.6
H3C9P		H3F3AP1
H3C9P		HIST1H3PS1
H3C9P		p36
		
		
POM121L6P		bA239L20.2
AKAP11	11215	AKAP220
AKAP11	11215	DKFZp781I12161
AKAP11	11215	FLJ11304
AKAP11	11215	KIAA0629
AKAP11	11215	PPP1R44
AKAP11	11215	PRKA11
		
LINC01219		
		
		
GUSBP12		
HLA-P		C6orf101
HLA-P		dJ377H14.3
HLA-P		HLA-90
CCND3P1		CCND3P
RPS19BP1	91582	FLJ21770
RPS19BP1	91582	MGC52010
PROSER1	80209	bA50D16.2
PROSER1	80209	C13orf23
PROSER1	80209	FLJ12661
		
LINC01708		
PGGT1B	5229	BGGI
PGGT1B	5229	GGTI
TAF7	6879	TAF2F
TAF7	6879	TAFII55
LINC01938		
PHBP6		
		
LEMD2	221496	dJ482C21.1
LEMD2	221496	LEM2
LEMD2	221496	NET25
		
RPL21P136		
ACTL7B	10880	Tact1
EVC2	132884	LBN
		
LGMN	5641	LGMN1
LGMN	5641	PRSC1
		
		
LINC01902		
		
KRT20	54474	CK20
KRT20	54474	K20
KRT20	54474	MGC35423
SETD6P1		
		
		
		
		
LINC01901		
INSYN2B	100131897	C5orf57
INSYN2B	100131897	FAM196B
PFN1P3		
UBE2V1	7335	CROC-1
UBE2V1	7335	CROC1
UBE2V1	7335	UBE2V
UBE2V1	7335	UEV-1
UBE2V1	7335	UEV1A
RPS12P10		
DMTN	2039	DMT
DMTN	2039	EPB49
FXYD5	53827	OIT2
TEX10	54881	bA208F1.2
TEX10	54881	FLJ20287
TEX10	54881	Ipi1
TNFAIP6	7130	TSG-6
TNFAIP6	7130	TSG6
GUSBP2		bA239L20.1
GUSBP2		bA239L20.5
GUSBP2		bGLU-Lp
GUSBP2		GUSBL1
GUSBP2		SMA3-L
GUSBP2		SMAC3L
GUSBP2		SMAC3L2
		
SULT1C3	442038	
	101928743	
IGKJ1		J1
SPRY4-AS1		THCAT68
CREBL2	1389	
		
TRBV1		TCRBV1S1P
TRBV1		TCRBV27S1P
		
XGY1		XGPY
XGY1		XGPY1
		
LINC01754		
CCDC85C	317762	
		
ACTL7A	10881	
LINC01477		
LINC02558		
WLS	79971	C1orf139
WLS	79971	EVI
WLS	79971	FLJ23091
WLS	79971	GPR177
WLS	79971	mig-14
WLS	79971	MRP
WLS	79971	wls
NEU3	10825	
		
		
COL9A2	1298	EDM2
COL9A2	1298	MED
TMEM230	29058	C20orf30
TMEM230	29058	HSPC274
		
		
BNIP3P6		
NUS1P3		YDD19
		
		
		
DOCK2	1794	KIAA0209
SLC25A2	83884	ORNT2
RPL35AP		bA456N23.1
		
LINC00566		
RB1-DT		LINC00441
RB1-DT		ncRNA-RB1
HLA-DRB9		D6S206
HLA-DRB9		D6S206E
HLA-DRB9		HLA-DR1BL
HLA-DRB9		HLA-DRB1L
		
RPL17P45		
		
LINC01153		
STAP1	26228	BRDG1
STAP1	26228	STAP-1
COL1A2	1278	OI4
GTF2IP1		WBSCR7
ADRA2A	150	ADRA2
ADRA2A	150	ADRA2R
ADRA2A	150	ADRAR
		
PPIAP17		bA494B22.1
PPIAP17		PPIP11
		
		
FUBP1	8880	FBP
FUBP1	8880	FUBP
LRIT3	345193	CSNB1F
LRIT3	345193	FIGLER4
LRIT3	345193	FLJ44691
RPS16	6217	S16
		
CYCSP33		HCP33
		
		
		
		
		
MAP3K8	1326	c-COT
MAP3K8	1326	COT
MAP3K8	1326	EST
MAP3K8	1326	ESTF
MAP3K8	1326	MEKK8
MAP3K8	1326	Tpl-2
FRG1FP		
IGKV4-1		B3
IGKV4-1		IGKV41
		
		
		
		
		
		
FGF1	2246	AFGF
FGF1	2246	ECGF
FGF1	2246	ECGF-beta
FGF1	2246	ECGFA
FGF1	2246	ECGFB
FGF1	2246	FGF-alpha
FGF1	2246	FGFA
FGF1	2246	GLIO703
FGF1	2246	HBGF1
CDHR5	53841	FLJ20219
CDHR5	53841	MU-PCDH
CDHR5	53841	MUCDHL
CDHR5	53841	MUPCDH
CEBPG	1054	GPE1BP
CEBPG	1054	IG/EBP-1
		
KRT23	25984	CK23
KRT23	25984	DKFZP434G032
KRT23	25984	HAIK1
KRT23	25984	K23
KRT23	25984	MGC26158
		
OR11H12	440153	
		
FAM189A1	23359	KIAA0574
FAM189A1	23359	TMEM228
GPR19	2842	
		
RPL12P10		TCAG_1783340
VN1R12P		bA373D17.2
VN1R12P		hs6V1-3p
VN1R12P		VNR6I3P
		
ACTR3BP6		
LINC00240		bA373D17.1
LINC00240		C6orf41
LINC00240		NCRNA00240
SUMO2P1		dJ271M21
SUMO2P1		SMT3Bp
SUMO2P1		SMT3H2P
SUMO2P1		SUMO2P
		
		
LINC01134		
		
LINC00871		RP11-1A16.1
ARHGAP42P5		
FRG1GP		
		
IGKV5-2		B2
IGKV5-2		IGKV52
		
		
		
RRH	10692	peropsin
		
FABP3P2		FABP3-ps
FABP3P2		FABP3P
		
LINC02341		
		
		
BTBD7P2		
HPS4	89781	BLOC3S2
HPS4	89781	KIAA1667
HPS4	89781	LE
		
NPM1P50		
WNT4	54361	WNT-4
OR2AT2P		
		
		
		
		
		
		
DPH5	51611	CGI-30
		
VN1R13P		bA373D17.3
VN1R13P		hs6V1-4p
VN1R13P		VNR6I4P
OR2AT4	341152	
LINC02297		
VN1R11P		dJ86C11.7
VN1R11P		hs6V1-2p
VN1R11P		VNR6I2P
FAM242F	105379447	
		
ADPRHL1	113622	ARH2
		
PARP4	143	ADPRTL1
PARP4	143	p193
PARP4	143	VAULT3
PARP4	143	VPARP
PARP4	143	VWA5C
CCNK	8812	CPR4
ITCH	83737	AIP4
		
POU2AF1	5450	BOB1
POU2AF1	5450	OBF1
NSMCE3	56160	HCA4
NSMCE3	56160	MAGEG1
NSMCE3	56160	MAGEL3
NSMCE3	56160	NDNL2
NSMCE3	56160	NSE3
LINC01345		
		
		
FRMPD2	143162	MGC35285
FRMPD2	143162	PDZD5C
FRMPD2	143162	PDZK5C
		
H2BC11	8970	H2B/r
H2BC11	8970	H2BFR
H2BC11	8970	HIST1H2BJ
PPM1K-DT		
		
		
NANOGP5		
LINC01149		XXbac-BPG181B23.4
LINC01346		
TRIM60P8Y		TRIM60P8
TRIM60P8Y		TRIM60PY8
		
RPS2P35		
RPS6P15		
	105372988	
		
ZNF736P3Y		ZNF381P
ZNF736P3Y		ZNF736P3
KRT19P3		
PPM1K	152926	BDP
PPM1K	152926	DKFZp761G058
PPM1K	152926	hPTMP
PPM1K	152926	PP2Ckappa
PPM1K	152926	PP2Cm
ZNF72P		Cos8
ZNF72P		ZNF72
RPL10L	140801	
INVS	27130	NPHP2
		
		
		
BNIP3P2		
		
LINC02833		
		
		
PPIAP34		
TRIM60P9Y		TRIM60P9
TRIM60P9Y		TRIM60PY9
		
		
		
YME1L1P1		YME1L2
GTF2IP5		
WASF1P1		
		
GGTLC1	92086	dJ831C21.1
GGTLC1	92086	dJ831C21.2
GGTLC1	92086	GGTLA3
GGTLC1	92086	GGTLA4
		
		
MRGPRG	386746	GPR169
MRGPRG	386746	mrgG
LINC02287		
CHMP1B	57132	C18orf2
CHMP1B	57132	CHMP1.5
CHMP1B	57132	Vps46B
		
TRMT9B	57604	C8orf79
TRMT9B	57604	FLJ36980
TRMT9B	57604	hTRM9L
TRMT9B	57604	KIAA1456
TRMT9B	57604	TRM9L
		
H2AC11	8969	H2A.1b
H2AC11	8969	H2A/p
H2AC11	8969	H2AFP
H2AC11	8969	HIST1H2AG
H2AC11	8969	pH2A/f
MRGPRG-AS1		C11orf36
MRGPRG-AS1		FLJ36102
MRGPRG-AS1		HSD-40
OR11H1	81061	OR22-1
SLC6A4	6532	5-HTT
SLC6A4	6532	HTT
SLC6A4	6532	OCD1
SLC6A4	6532	SERT1
SLC5A12	159963	MGC52019
SLC5A12	159963	SMCT2
RMND5B	64777	FLJ22318
RMND5B	64777	GID2
RMND5B	64777	GID2B
WBP1LP12		
		
		
		
		
		
		
		
ENTPD4	9583	KIAA0392
ENTPD4	9583	LALP70
ENTPD4	9583	LAP70
ENTPD4	9583	LYSAL1
ENTPD4	9583	NTPDase-4
ENTPD4	9583	UDPase
LINC02160		
		
		
		
H4C9	8294	H4/m
H4C9	8294	H4FM
H4C9	8294	HIST1H4I
		
SPCS2P4		
		
GNAL	2774	
ARHGAP42P3		OPHN1P1
		
LINC02120		
		
		
TPBGL	100507050	
AKAP13	11214	AKAP-Lbc
AKAP13	11214	ARHGEF13
AKAP13	11214	BRX
AKAP13	11214	c-lbc
AKAP13	11214	HA-3
AKAP13	11214	Ht31
AKAP13	11214	LBC
AKAP13	11214	PROTO-LB
OR4F1P		HSDJ0609N19
OR4F1P		OR4F1
KDF1	126695	C1orf172
KDF1	126695	FLJ34633
KDF1	126695	RP11-344H11.3
DAZ1	1617	DAZ
DAZ1	1617	SPGY
BTG4	54766	APRO3
BTG4	54766	PC3B
		
HCN2	610	BCNG-2
HCN2	610	BCNG2
HCN2	610	HAC-1
PIGH	5283	GPI-H
SPRY4	81848	
ZDHHC20P3		
		
		
H2BC12	85236	H2BFAiii
H2BC12	85236	H2BFT
H2BC12	85236	HIST1H2BK
		
SLCO2B1	11309	OATP-B
SLCO2B1	11309	OATP2B1
SLCO2B1	11309	SLC21A9
OR10R1P		
		
H2AC12	85235	dJ86C11.1
H2AC12	85235	H2A/S
H2AC12	85235	H2AFALii
H2AC12	85235	HIST1H2AH
RPL12P13		
DBX1	120237	
		
GPR176-DT		
PIGFP3		
OSTCP2		
GTF3AP6		
		
KRT39	390792	KA35
RPL10P2		bA209A2.1
RPL10P2		RPL10p
		
		
VN1R28P		
SAPCD2P2		
FTH1P9		
TRNP1	388610	C1orf225
TRNP1	388610	TRNP
CICP18		
DDX18P3		
		
		
		
TMEM189-UBE2V1	387522	CROC-1B
TMEM189-UBE2V1	387522	Kua-UEV
MTND2P31		
HLA-Z		HLA-Z1
		
LINC00504		
		
		
		
PGBD4P2		
RPL22P20		
IGKV7-3		
		
GNG12-AS1		
PGBD4P5		
		
		
NPM1P1		NG1-1.6
NPM1P1		NPMP1
IGKV2-4		
TPTE2P6		
		
PTAFR	5724	
IGKV1-5		
		
PHBP7		
		
SLN	6588	MGC12301
SLN	6588	MGC125854
SLN	6588	MGC125855
CHRNA7	1139	
		
HNRNPC	3183	hnRNPC
HNRNPC	3183	HNRPC
LINC02476		LVCAT5
IGKV1-6		
ZBTB40	9923	KIAA0478
ZBTB40	9923	ZNF923
		
CTBP2P8		
		
PLEKHH1	57475	KIAA1200
CPEB2-DT		CPEB2-AS1
IGKV3-7		
GNG12	55970	
ZNF461	92283	GIOT-1
ZNF461	92283	MGC33911
		
YWHAB	7529	YWHAA
		
MAGEB2	4113	CT3.2
MAGEB2	4113	DAM6
MAGEB2	4113	MAGE-XP-2
MAGEB2	4113	MGC26438
		
LIF	3976	CDF
LIF	3976	DIA
LIF	3976	HILDA
NUP155	9631	KIAA0791
NUP155	9631	N155
		
NF1P10		
PSPC1P2		
		
PPP1R2P1		IPP-2P
PPP1R2P1		PPP1R2P
IGKV1-8		IGKV18
IGKV1-8		L9
		
		
ARL5AP3		
		
		
		
PMS2P10		PMS2L10
PMS2P10		PMSR4
DIRAS3	9077	ARHI
DIRAS3	9077	NOEY2
		
		
VN1R76P		
RAVER1	125950	KIAA1978
NECTIN4	81607	LNIR
NECTIN4	81607	nectin-4
NECTIN4	81607	PRR4
NECTIN4	81607	PVRL4
DHFRP1		
MIA2	4253	cTAGE-5A
MIA2	4253	cTAGE-5B
MIA2	4253	cTAGE-5C
MIA2	4253	cTAGE-5D
MIA2	4253	CTAGE5
MIA2	4253	FLJ22404
MIA2	4253	MEA6
MIA2	4253	MGEA
MIA2	4253	MGEA11
MIA2	4253	MGEA6
MIA2	4253	TALI
		
LINC01919		
LIF-AS1		Lnc-LIF-AS
PSMA8	143471	MGC26605
PSMA8	143471	PSMA7L
PSMB8	5696	beta5i
PSMB8	5696	D6S216E
PSMB8	5696	LMP7
PSMB8	5696	PSMB5i
PSMB8	5696	RING10
ZCCHC24	219654	C10orf56
ZCCHC24	219654	FLJ90798
ZCCHC24	219654	Z3CXXC8
HCP5		D6S2650E
HCP5		P5-1
HLA-N		HLA-30
RPL7AP7		dJ377H14.2
RPL7AP7		RPL7B
		
POM121L3P		dJ831C21.3
POM121L3P		POM121L3
AGRN	375790	AGRIN
		
MICG		
UBQLN1P1		UBQLN1P
TPRX1P1		
		
		
LINC01721		
		
		
		
MICC		PERB11.3
LINC01917		
		
NHP2	55651	FLJ20479
NHP2	55651	NOLA2
DUSP22	56940	JKAP
DUSP22	56940	JSP1
DUSP22	56940	MKPX
DUSP22	56940	VHX
LOXL2	4017	LOR
LOXL2	4017	WS9-14
		
TMPOP1		Em:AB014080.3
TMPOP1		TMPOL1
		
ZBTB40-IT1		
		
		
ADAMTS7P1		ADAMTS7P2
		
		
FDX2	112812	FDX1L
FDX2	112812	MGC19604
RPL29P32		
		
TAS2R5	54429	T2R5
VKORC1L1	154807	
TENT5B	115572	FAM46B
TENT5B	115572	MGC16491
LINC01534		
		
HTN1	3346	HIS1
MTCO1P55		
DCC	1630	IGDCC1
DCC	1630	NTN1R1
CCND1	595	BCL1
CCND1	595	D11S287E
CCND1	595	PRAD1
CCND1	595	U21B31
MTND2P5		
RPL7P20		
MAGEB3	4114	CT3.5
		
DKK1	22943	DKK-1
DKK1	22943	SK
MTND1P3		
		
		
RHOT2	89941	ARHT2
RHOT2	89941	C16orf39
RHOT2	89941	MIRO-2
TMEM189	387521	Kua
CYP4F22	126410	FLJ39501
SLC39A12-AS1		
IPO8	10526	IMP8
IPO8	10526	RANBP8
NAA35	60560	bA379P1.1
NAA35	60560	FLJ21613
NAA35	60560	FLJ22643
NAA35	60560	MAK10
SLC39A12	221074	FLJ30499
GHRHR	2692	
HSP90AA4P		HSPCAL2
NPC1	4864	SLC65A1
PIGW	284098	FLJ37433
PIGW	284098	Gwt1
		
CFL1	1072	CFL
POLR2J	5439	hRPB14
POLR2J	5439	POLR2J1
POLR2J	5439	RPB11
POLR2J	5439	RPB11A
POLR2J	5439	RPB11m
		
FRG1-DT		
TMEM229B	161145	C14orf83
TMEM229B	161145	FLJ33387
PRKG1	5592	PGK
PRKG1	5592	PKG
PRKG1	5592	PKG1
PRKG1	5592	PRKG1B
PRKG1	5592	PRKGR1B
ICAM3	3385	CD50
ICAM3	3385	CDW50
ICAM3	3385	ICAM-R
PALMD	54873	C1orf11
PALMD	54873	FLJ20271
PALMD	54873	PALML
		
PSMB9	5698	beta1i
PSMB9	5698	LMP2
PSMB9	5698	PSMB6i
PSMB9	5698	RING12
LINC01194		CT49
LINC01194		TAG
MYO19	80179	FLJ22865
MYO19	80179	MYOHD1
NPR1	4881	ANPa
NPR1	4881	ANPRA
NPR1	4881	GUCY2A
NPR1	4881	NPRA
		
		
		
		
DOCK4	9732	FLJ34238
DOCK4	9732	KIAA0716
	105377488	
		
MYL6P4		
LTO1	220064	CIAB1
LTO1	220064	ORAOV1
LTO1	220064	TAOS1
LINC01947		
CDKN1B	1027	KIP1
CDKN1B	1027	P27KIP1
ENPP5	59084	
PHBP9		
RPS27AP15		
		
RPS20P24		
GPS2P1		
LRWD1	222229	CENP-33
LRWD1	222229	DKFZp434K1815
LRWD1	222229	ORCA
		
CWF19L1	55280	FLJ10998
CWF19L1	55280	hDrn1
TMC1	117531	DFNA36
TMC1	117531	DFNB11
TMC1	117531	DFNB7
		
PMP22	5376	CMT1A
PMP22	5376	GAS3
PMP22	5376	HMSNIA
PMP22	5376	HNPP
PMP22	5376	Sp110
ATP5PDP2		ATP5HP2
OR5M14P		OR5M15P
C6orf58	352999	LEG1
LINC01046		
ASPHD2	57168	FLJ39838
		
ACTG1P9		ACTGP9
TRBV2		TCRBV22S1A2N1T
TRBV2		TCRBV2S1
		
HSBP1P1		
		
HTR3B	9177	5-HT3B
CUBNP2		
		
TOMM20L	387990	UNQ9438
		
		
HMGB3P10		
POLR2D	5433	RBP4
		
RBPMS2	348093	
		
USP8	9101	HumORF8
USP8	9101	KIAA0055
USP8	9101	SPG59
USP8	9101	UBPY
HMGN2P31		
RCAN2	10231	DSCR1L1
RCAN2	10231	ZAKI-4
		
UBTD1	80019	FLJ11807
PHOX2B	8929	NBPhox
PHOX2B	8929	Phox2b
PHOX2B	8929	PMX2B
RLN1	6013	H1
SLC6A3	6531	DAT
SLC6A3	6531	DAT1
TIMM9	26520	TIM9A
RPL23AP43		
TAP1	6890	ABCB2
TAP1	6890	D6S114E
TAP1	6890	PSF1
TAP1	6890	RING4
SKP2	6502	FBL1
SKP2	6502	FBXL1
SKP2	6502	p45
		
MPPE1	65258	Cdc1
MPPE1	65258	PGAP5
		
ZGLP1	100125288	GATAD3
ZGLP1	100125288	GLP-1
ZGLP1	100125288	GLP1
		
		
RPS27P1		bA108M11.3
PRSS37	136242	
ART2BP		
PPP1R3C	5507	PPP1R5
PPP1R3C	5507	PTG
HNRNPA1P32		
ART2P		ART1P
ART2P		RT6
ZNF234	10780	HZF4
ZNF234	10780	ZNF269
		
		
		
		
		
GAPDHP28		
		
LINC01537		RP11-169D4.1-001
		
		
		
		
RPL29P30		
		
FAF2P1		
		
	107986742	
LYZL2	119180	
ACO1	48	IREB1
ACO1	48	IREBP
ACO1	48	IRP1
CSGALNACT1	55790	ChGn
CSGALNACT1	55790	CSGalNAcT-1
CSGALNACT1	55790	FLJ11264
ITCH-IT1		
SNX32	254122	FLJ30934
SNX32	254122	SNX6B
PSMB3	5691	HC10-II
PSMB3	5691	MGC4147
DYNLRB1	83658	DNCL2A
DYNLRB1	83658	DNLC2A
DYNLRB1	83658	ROBLD1
		
SLC9A1	6548	APNH
SLC9A1	6548	NHE1
SLC9A1	6548	PPP1R143
		
RMC1	29919	C18orf8
RMC1	29919	HsT2591
RMC1	29919	MIC1
RMC1	29919	WDR98
		
		
RSU1P3		
		
		
COMMD4P1		
		
PRKG1-AS1		RP11-573I11.2
		
OR2AT1P		
PYGM	5837	GSD5
		
CYP39A1	51302	
		
		
HNRNPCP1		HNRPCP
		
C2	717	
		
UBDP1		dJ994E9.3
TPM4	7171	
CARM1P1		CARM1L
MAS1LP1		MAS1LP
MAS1LP1		OTTHUMG00000086553
VPS4B	9525	SKD1
VPS4B	9525	SKD1B
VPS4B	9525	VPS4-2
RPS26P24		
CFAP221	200373	FAP221
CFAP221	200373	PCDP1
		
		
MAGEB4	4115	CT3.6
MAGEB4	4115	MGC33144
		
		
		
TNFAIP8L2	79626	FLJ23467
CSTF2T	23283	CstF-64T
CSTF2T	23283	DKFZp434C1013
CSTF2T	23283	KIAA0689
CSTF2T	23283	tauCstF-64
		
PWWP3A	84939	EXPAND1
PWWP3A	84939	MUM-1
PWWP3A	84939	MUM1
INTS4	92105	INT4
INTS4	92105	MGC16733
INTS4	92105	MST093
		
RNF5	6048	G16
RNF5	6048	NG2
RNF5	6048	RING5
RNF5	6048	RMA1
KIAA0586	9786	JBTS23
KIAA0586	9786	Talpid3
SCNM1	79005	MGC3180
SCNM1	100534012	MGC3180
MAS1L	116511	dJ994E9.2
MAS1L	116511	MAS-L
MAS1L	116511	MRG
CDC42P1		bK3216D2.3
RPS17P1		dJ994E9.1
RPS17P1		RPS17p
		
ITCH-AS1		
EIF5AL1	143244	bA342M3.3
EIF5AL1	143244	EIF5AP1
		
HMGB1P28		
FDX1P1		ADXP1
FDX1P1		FDXP1
TDO2	6999	TDO
TDO2	6999	TPH2
LINC02829	105375009	
MAGEB1	4112	CT3.1
MAGEB1	4112	DAM10
MAGEB1	4112	MAGE-Xp
MAGEB1	4112	MAGEL1
MAGEB1	4112	MGC9322
LINC02536		
		
		
OR9A3P		OR9A6P
RPS12P18		
LINC01015		
GAPDHP53		
CYP4F23P		
GPR53P		dJ271M21.8
GPR53P		PsiGPR53
SUMO2P1		dJ271M21
SUMO2P1		SMT3Bp
SUMO2P1		SMT3H2P
SUMO2P1		SUMO2P
HLA-DRB3	3125	HLA-DR3B
OSM	5008	MGC20461
EFEMP2	30008	FBLN4
EFEMP2	30008	UPH1
TBC1D2B	23102	KIAA1055
NELFCD	51497	HSPC130
NELFCD	51497	NELF-C
NELFCD	51497	NELF-D
NELFCD	51497	TH1
NELFCD	51497	TH1L
NPM1P2		NG2-6
NPM1P2		NPMP2
LINC00682		
LINC02380		
MRM2	29960	FJH1
MRM2	29960	FTSJ2
MRM2	29960	RRMJ2
		
OR9A1P		HSHTPCRX06
OR9A1P		HTPCRX06
OR9A1P		OR9A1
		
LINC01231		
	51802	
		
SYNDIG1	79953	C20orf39
SYNDIG1	79953	DSPC2
SYNDIG1	79953	FLJ14220
SYNDIG1	79953	IFITMD5
SYNDIG1	79953	SynDIG1
SYNDIG1	79953	TMEM90B
		
NEK2P2		
PHBP4		
NF1P7		NF1L7
		
SRP72P2		dJ274L14.2
		
ZNF251	90987	
		
TULP4	56995	KIAA1397
TULP4	56995	TUSP
THEMIS	387357	bA325O24.3
THEMIS	387357	bA325O24.4
THEMIS	387357	C6orf190
THEMIS	387357	C6orf207
THEMIS	387357	FLJ40584
THEMIS	387357	TSEPA
ANKRD34B	340120	DP58
LYSMD1	388695	MGC35223
LYSMD1	388695	RP11-68I18.5
LYSMD1	388695	SB145
		
		
		
NIBAN3	199786	BCNP1
NIBAN3	199786	FAM129C
NIBAN3	199786	FLJ39802
		
MAD1L1	8379	HsMAD1
MAD1L1	8379	MAD1
MAD1L1	8379	PIG9
MAD1L1	8379	TP53I9
MAD1L1	8379	TXBP181
RNF144B	255488	bA528A10.3
RNF144B	255488	IBRDC2
RNF144B	255488	P53RFP
ABITRAMP1		FAM206BP
LRRC63	220416	RP11-139H14.4
FAM20C	56975	DKFZp547D065
FAM20C	56975	DMP4
FAM20C	56975	G-CK
FAM20C	56975	IMAGE:4942737
PARK7	11315	DJ-1
PARK7	11315	DJ1
PARK7	11315	GATD2
NDUFA9	4704	CI-39k
NDUFA9	4704	COQ11
NDUFA9	4704	NDUFS2L
NDUFA9	4704	SDR22E1
TMOD4	29765	Sk-Tmod
GALNT13	114805	GalNAc-T13
GALNT13	114805	KIAA1918
		
MRPS17P5		
		
		
RPL23AP2		
		
DCBLD1	285761	dJ94G16.1
DCBLD1	285761	MGC46341
		
NPY	4852	PYY4
		
MLN	4295	
		
		
		
		
ACTRT2	140625	Arp-T2
ACTRT2	140625	ARPM2
ACTRT2	140625	FLJ25424
		
		
LMF1-AS1		
		
		
		
EFHD2	79180	MGC4342
APOLD1	81575	DKFZP434F0318
APOLD1	81575	FLJ25138
CEROX1		
		
MIR548A1HG		
		
		
		
ADAMTS7P3		
MMP13	4322	CLG3
AAMDC	28971	C11orf67
AAMDC	28971	CK067
AAMDC	28971	FLJ21035
AAMDC	28971	PTD015
LINC00563		
		
		
KIR3DL2	3812	CD158K
KIR3DL2	3812	cl-5
KIR3DL2	3812	nkat4
KIR3DL2	3812	nkat4a
KIR3DL2	3812	nkat4b
		
		
		
STX8P1		
		
ARNILA		
		
DDX47	51202	DKFZp564O176
DDX47	51202	FLJ30012
DDX47	51202	HQ0256
DDX47	51202	RRP3
		
OR7E140P		
		
		
CYP4A11	1579	CYP4A2
CYP4A11	1579	CYP4AII
SIRPB2	284759	dJ776F14.2
SIRPB2	284759	PTPN1L
SIRPB2	284759	PTPNS1L3
OR7E148P		OR7E150P
DBIP2		DBIL1
NHLRC3	387921	
		
OR7E149P		
LINC01337		TCONS_00009713
		
PACSIN3	29763	SDPIII
		
GPAM	57678	GPAT1
GPAM	57678	KIAA1560
GPAM	57678	MGC26846
PLCE1P1		
NPEPL1	79716	bA261P9.2
NPEPL1	79716	FLJ11583
CHCHD3P3		
CLEC6A	93978	CLECSF10
CLEC6A	93978	dectin-2
RRM1-AS1		
LMF1	64788	C16orf26
LMF1	64788	FLJ12681
LMF1	64788	FLJ22302
LMF1	64788	JFP11
LMF1	64788	TMEM112
LMF1	64788	TMEM112A
RRM1	6240	
NPM1P39		
ADAM21	8747	ADAM31
PRXL2C	195827	AAED1
PRXL2C	195827	C9orf21
HLA-DRB1	3123	HLA-DR1B
LINC01016		
		
		
		
		
DYRK4	8798	
		
		
GOPC	57120	CAL
GOPC	57120	dJ94G16.2
GOPC	57120	FIG
GOPC	57120	GOPC1
GOPC	57120	PIST
		
TMEM30A	55754	C6orf67
TMEM30A	55754	CDC50A
TMEM30A	55754	FLJ10856
NSFL1C	55968	dJ776F14.1
NSFL1C	55968	p47
NSFL1C	55968	UBX1
NSFL1C	55968	UBXD10
NSFL1C	55968	UBXN2C
		
		
		
ADAM20	8748	
FRRS1	391059	SDFR2
FRRS1	391059	SDR2
	102724700	
SULT1C2	6819	ST1C1
SULT1C2	6819	SULT1C1
CHGA	1113	
SLC35F2	54733	FLJ13018
CLIP2	7461	CLIP
CLIP2	7461	CLIP-115
CLIP2	7461	CYLN2
CLIP2	7461	KIAA0291
CLIP2	7461	WBSCR3
CLIP2	7461	WBSCR4
CLIP2	7461	WSCR3
CLIP2	7461	WSCR4
ADAM20P1		C14orf55
PTPN6	5777	HCP
PTPN6	5777	HCPH
PTPN6	5777	PTP-1C
